"","sample_size_n","number_covariates_J","coefficient_k","nonnormal_covariates_1","coefficient_yonly","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"1",400,20,0.5,0,1,"glmnet",FALSE,0.0955992982667746,0.930981029051702,0.935413372048321,0,0.811429903881933,0.067,0.130456904490647,1.42983438471095,0.845,0.4581,0.35,0.6
"2",400,20,0.5,0,1,"ipw.CBPS",FALSE,0.354844823111412,0.788658766989885,0.864450991432264,0,0.817410664813373,0.064,0.201437255701287,0.34445209562975,NA,NA,NA,NA
"3",400,20,0.5,0,1,"ipw.GBM",FALSE,0.829902117092096,0.685904813750288,1.07644436552301,0,0.699105221324563,0.238,0.431942,0.565,NA,NA,NA,NA
"4",400,20,0.5,0,1,"lslx",FALSE,0.190739713452696,0.910749128003474,0.930062443319235,0,0.766167652630599,0.096,0.101663195834886,0.994798521550451,0.715,0.3034,0.2,0.4
"5",400,20,0.5,0,1,"none",FALSE,1.38671575566124,0.669089648204712,1.53954988986278,0,0.660688211970728,0.551,NA,NA,NA,NA,NA,NA
"6",400,20,0.5,0,1,"pred.treat",FALSE,0.00694803665353557,0.977059533302063,0.976595597726187,0,0.920057240853336,0.05,0.145094690216825,1.58423495697117,1,0.2,0.2,0.2
"7",400,20,0.5,0,1,"regsem",FALSE,0.91221138608312,0.969136240305878,1.33056959236322,0,0.688082904988359,0.373,0.0618996265202939,0.875218381512212,0.227,0.10835,0,0.2
"8",400,20,0.5,0,1,"stability_mle",TRUE,-0.0156999813574755,1.05315037194978,1.05274074189548,0,0.919769104224512,0.052,0.179288348863343,1.53132963486011,1,0.5456,0.35,0.75
"9",400,20,0.5,0,1,"target",FALSE,0.00136531704960937,0.801531271129694,0.801131568664493,0,0.797870143249948,0.051,0.102261878658987,0.863602912488989,NA,NA,NA,NA
"10",400,20,0.5,0,1,"unwanted.only",FALSE,1.47319557260845,0.692482809051398,1.62768489074022,0,0.68415918601693,0.565,0.0164595826307857,0.09525385083907,NA,NA,NA,NA
"11",400,20,0.5,0,1.5,"glmnet",FALSE,0.173697822609535,1.18670144820302,1.19875894174737,0,0.994177461613293,0.117,0.109113517957234,1.03973048304557,0.689,0.4374,0.3,0.55
"12",400,20,0.5,0,1.5,"ipw.CBPS",FALSE,0.360618772117417,1.03858314207495,1.09891864433303,0,1.0400233945299,0.071,0.200237206983951,0.328967591079073,NA,NA,NA,NA
"13",400,20,0.5,0,1.5,"ipw.GBM",FALSE,0.811623185879216,0.88462150516058,1.20021033491714,0,0.890943006226423,0.159,0.431849,0.571,NA,NA,NA,NA
"14",400,20,0.5,0,1.5,"lslx",FALSE,0.349572684203464,1.16403248529746,1.21483238215902,0,0.926223061847308,0.159,0.0707619696377861,0.967036747524104,0.47,0.2548,0.15,0.35
"15",400,20,0.5,0,1.5,"none",FALSE,1.37166186273723,0.842278701464945,1.60940369181206,0,0.843665819877396,0.373,NA,NA,NA,NA,NA,NA
"16",400,20,0.5,0,1.5,"pred.treat",FALSE,-0.0160691004394655,1.31949138939336,1.31892937079491,0,1.19920651928772,0.069,0.144835714496904,1.15602552125784,1,0.2,0.2,0.2
"17",400,20,0.5,0,1.5,"regsem",FALSE,0.984125157973484,1.08568381272994,1.46493445533885,0,0.860140038214934,0.298,0.0417176232715958,0.744761794252285,0.132,0.1103,0,0.2
"18",400,20,0.5,0,1.5,"stability_mle",TRUE,-0.0166060805636412,1.30300907809172,1.30246327658154,0,1.16301198039627,0.068,0.176159517388668,1.54743237546939,0.997,0.54755,0.35,0.75
"19",400,20,0.5,0,1.5,"target",FALSE,-0.00835040201881175,1.05760228209763,1.05710633037784,0,1.02434159318253,0.054,0.10095011649648,0.823871919101916,NA,NA,NA,NA
"20",400,20,0.5,0,1.5,"unwanted.only",FALSE,1.4675557914879,0.86779282268595,1.704708573291,0,0.872939855717334,0.391,0.0159494242782862,0.100786348492161,NA,NA,NA,NA
"21",400,20,0.5,1,1,"glmnet",FALSE,0.361312982035416,1.4164317736721,1.46110224196863,0,1.18482218476395,0.127,0.103960251485278,1.21436608032068,0.38,0.2643,0.05,0.4
"22",400,20,0.5,1,1,"ipw.CBPS",FALSE,0.279980393386381,1.29594017633532,1.3252058332124,0,1.31054647266756,0.05,0.183241879328132,0.309070760769246,NA,NA,NA,NA
"23",400,20,0.5,1,1,"ipw.GBM",FALSE,0.71419078931629,1.11325839904458,1.32218508625853,0,1.14051952378526,0.092,0.400803,0.581,NA,NA,NA,NA
"24",400,20,0.5,1,1,"lslx",FALSE,0.701358130943503,1.33524688798181,1.50764869762614,0,1.12393357278042,0.16,0.0729619137808323,0.719501681985156,0.159,0.09495,0,0.15
"25",400,20,0.5,1,1,"none",FALSE,1.22424556623519,1.06055115546129,1.61938914132566,0,1.08586140657296,0.222,NA,NA,NA,NA,NA,NA
"26",400,20,0.5,1,1,"pred.treat",FALSE,-0.0495614162542582,1.52835859031267,1.5283979961329,0,1.42912885794941,0.064,0.15683845632207,1.26477201390544,1,0.2,0.2,0.2
"27",400,20,0.5,1,1,"regsem",FALSE,1.13754507957027,1.11269945681035,1.59087107873624,0,1.09227356680108,0.206,0.0424191196573081,0.61965815539717,0.019,0.01925,0,0
"28",400,20,0.5,1,1,"stability_mle",TRUE,-0.0482406289935686,1.60003471414291,1.59996191631602,0,1.44016576880166,0.072,0.178464980402176,1.49882998913241,0.996,0.55425,0.35,0.75
"29",400,20,0.5,1,1,"target",FALSE,-0.0204337072939186,1.37588448199655,1.37534816904116,0,1.29241521041752,0.069,0.127820417183582,1.29861767785516,NA,NA,NA,NA
"30",400,20,0.5,1,1,"unwanted.only",FALSE,1.29702089617976,1.10322720560168,1.70239723978849,0,1.12919043038371,0.242,0.0475959911673874,0.482032848279106,NA,NA,NA,NA
"31",400,20,0.5,1,1.5,"glmnet",FALSE,0.465893058141837,1.87468748823425,1.93080166433226,0,1.5408260076275,0.111,0.0935775854455435,5.24810142697143,0.263,0.2631,0.05,0.4
"32",400,20,0.5,1,1.5,"ipw.CBPS",FALSE,0.299391145504279,1.77768668371175,1.80184484168504,0,1.73513683304297,0.062,0.181983092759323,0.332113865179199,NA,NA,NA,NA
"33",400,20,0.5,1,1.5,"ipw.GBM",FALSE,0.710451271378753,1.55893512573208,1.71248049814261,0,1.51374563630449,0.09,0.398722,0.555,NA,NA,NA,NA
"34",400,20,0.5,1,1.5,"lslx",FALSE,0.980500412895534,1.60924450868982,1.88373545927975,0,1.45080732463003,0.144,0.0359382186704224,0.782267488176043,0.04,0.0577,0,0.1
"35",400,20,0.5,1,1.5,"none",FALSE,1.2065400602916,1.50729953573595,1.93013441387584,0,1.44357065912228,0.157,NA,NA,NA,NA,NA,NA
"36",400,20,0.5,1,1.5,"pred.treat",FALSE,-0.0353417751116391,2.26578554876441,2.26492812466637,0,1.9296328384308,0.061,0.167120882590318,3.46434791987883,1,0.2,0.2,0.2
"37",400,20,0.5,1,1.5,"regsem",FALSE,1.14230222795937,1.53554596061883,1.91321663064499,0,1.4477956973481,0.151,0.0290039996510682,0.218497698206728,0.007,0.02125,0,0
"38",400,20,0.5,1,1.5,"stability_mle",TRUE,-0.0276661691826896,2.50606082933345,2.50496027041476,0,1.95308620633812,0.071,0.188159328603211,3.57974028840289,0.995,0.5579,0.35,0.75
"39",400,20,0.5,1,1.5,"target",FALSE,0.0401208531336332,2.26609398701354,2.26531597329757,0,1.76738387300566,0.057,0.13097363015978,3.84953732175025,NA,NA,NA,NA
"40",400,20,0.5,1,1.5,"unwanted.only",FALSE,1.28006289357827,1.59331330080699,2.043200831727,0,1.49968858615781,0.162,0.052826084295978,1.85766790112086,NA,NA,NA,NA
"41",400,20,1,0,1,"glmnet",FALSE,0.128867464322513,0.969073685533366,0.977124110615505,0,0.816077083434892,0.096,0.12989381328062,1.17542231088937,0.856,0.4468,0.3,0.55
"42",400,20,1,0,1,"ipw.CBPS",FALSE,0.340144696806512,0.884439789607292,0.947179984197694,0,0.895102629991777,0.064,0.220068381443048,0.378538483949063,NA,NA,NA,NA
"43",400,20,1,0,1,"ipw.GBM",FALSE,0.834291827946461,0.676670480470775,1.07399623387592,0,0.702193953170048,0.215,0.464966,0.607,NA,NA,NA,NA
"44",400,20,1,0,1,"lslx",FALSE,0.180322044039831,0.909823144853416,0.927074115873565,0,0.754659746088521,0.109,0.0889162299378575,1.03903947705166,0.727,0.3,0.2,0.4
"45",400,20,1,0,1,"none",FALSE,1.21422051356989,0.650594187427941,1.37738192941981,0,0.663685665979397,0.453,NA,NA,NA,NA,NA,NA
"46",400,20,1,0,1,"pred.treat",FALSE,0.0451949990841278,1.29481552047481,1.29495686135586,0,1.10473239573646,0.067,0.21624237225574,1.46862743289425,1,0.2,0.2,0.2
"47",400,20,1,0,1,"regsem",FALSE,0.711831364408462,0.939913312950675,1.17866767588734,0,0.690838669076872,0.292,0.0625914221073875,0.524671356931824,0.301,0.1209,0,0.25
"48",400,20,1,0,1,"stability_mle",TRUE,0.0105591563920677,1.26040722258022,1.25982111275743,0,1.07470373698181,0.072,0.257246429437289,1.42246111966151,0.985,0.5715,0.35,0.75
"49",400,20,1,0,1,"target",FALSE,-0.00115741087212512,0.755743203969496,0.755366124575137,0,0.741630125493777,0.06,0.0726692106010736,0.695082978112709,NA,NA,NA,NA
"50",400,20,1,0,1,"unwanted.only",FALSE,1.53438931592173,0.782812328810515,1.72236259823835,0,0.77217139969373,0.528,0.0632504511647411,0.325089823799915,NA,NA,NA,NA
"51",400,20,1,0,1.5,"glmnet",FALSE,0.199542475564742,1.23501033317482,1.25041691930333,0,1.01761301785285,0.108,0.113828499739424,1.21315227193879,0.681,0.4239,0.3,0.55
"52",400,20,1,0,1.5,"ipw.CBPS",FALSE,0.330353559323696,1.09495009949622,1.14317552406629,0,1.13616318657492,0.051,0.221279141908595,0.415306115642049,NA,NA,NA,NA
"53",400,20,1,0,1.5,"ipw.GBM",FALSE,0.851130546179893,0.880921530392991,1.22461011207964,0,0.893077395349166,0.154,0.465666,0.608,NA,NA,NA,NA
"54",400,20,1,0,1.5,"lslx",FALSE,0.343397271292739,1.13499434169402,1.18526184003918,0,0.914046524051147,0.135,0.0639284227347098,1.21806156497919,0.475,0.2575,0.2,0.35
"55",400,20,1,0,1.5,"none",FALSE,1.22234445986237,0.848413982573732,1.48768694895701,0,0.844276492382138,0.303,NA,NA,NA,NA,NA,NA
"56",400,20,1,0,1.5,"pred.treat",FALSE,0.0372474643647414,1.67597164310603,1.67554750489165,0,1.41465326002082,0.059,0.208890968080348,2.77892549104407,1,0.2,0.2,0.2
"57",400,20,1,0,1.5,"regsem",FALSE,0.837666289142064,1.04154901621591,1.33619771770206,0,0.865605614824545,0.238,0.0455841129739443,0.549574108430792,0.174,0.1232,0,0.2
"58",400,20,1,0,1.5,"stability_mle",TRUE,0.0114509307485901,1.53787367435581,1.53714719745812,0,1.35691850052045,0.069,0.247128879171628,2.71698076190232,0.957,0.55545,0.35,0.75
"59",400,20,1,0,1.5,"target",FALSE,0.0266684851982816,0.972454702957655,0.972334144858612,0,0.939508193322958,0.064,0.0702605730230388,0.383198838816025,NA,NA,NA,NA
"60",400,20,1,0,1.5,"unwanted.only",FALSE,1.51378816162934,0.973164563908655,1.79934899824025,0,0.982368486720919,0.348,0.0597626427714934,0.395522871729658,NA,NA,NA,NA
"61",400,20,1,1,1,"glmnet",FALSE,0.434405841594622,1.47448789550265,1.53644032576647,0,1.22920530162038,0.104,0.110346561531945,1.05794989385333,0.389,0.27845,0.05,0.45
"62",400,20,1,1,1,"ipw.CBPS",FALSE,0.260335308125064,1.55982261151422,1.58062899045545,0,1.46263565298308,0.062,0.196975896153044,0.355175828308675,NA,NA,NA,NA
"63",400,20,1,1,1,"ipw.GBM",FALSE,0.743583621273683,1.22197076385363,1.42990766729597,0,1.16943815835855,0.108,0.43027,0.572,NA,NA,NA,NA
"64",400,20,1,1,1,"lslx",FALSE,0.707246247246426,1.31547856527299,1.49296705458665,0,1.13743133173087,0.143,0.0694717625776883,0.834933445127942,0.161,0.09415,0,0.15
"65",400,20,1,1,1,"none",FALSE,1.11582829963387,1.14079732514796,1.59536513462953,0,1.10735144522947,0.197,NA,NA,NA,NA,NA,NA
"66",400,20,1,1,1,"pred.treat",FALSE,-0.0381168599753308,2.17958916776852,2.17883253746771,0,1.76387316108917,0.072,0.212334919466779,4.46081463995463,1,0.2,0.2,0.2
"67",400,20,1,1,1,"regsem",FALSE,1.04690059949899,1.18856458201289,1.58343738274718,0,1.1132454519807,0.189,0.0422908725892242,0.84772833636079,0.021,0.01695,0,0
"68",400,20,1,1,1,"stability_mle",TRUE,-0.00792979672063376,2.2829154807129,2.28178751654543,0,1.75049760354262,0.068,0.234310796326408,4.53491491420405,0.964,0.54135,0.35,0.7
"69",400,20,1,1,1,"target",FALSE,-0.00320312099428403,1.36288913318627,1.3622112841083,0,1.25596273456466,0.06,0.107725764545012,1.88128273756076,NA,NA,NA,NA
"70",400,20,1,1,1,"unwanted.only",FALSE,1.37829286624745,1.36849732032271,1.94180414974408,0,1.27467776824502,0.242,0.103843917498983,2.48150361575691,NA,NA,NA,NA
"71",400,20,1,1,1.5,"glmnet",FALSE,0.467578560375517,1.8027620434471,1.86153988526464,0,1.55302579044612,0.106,0.0924896618972695,2.80365976894817,0.258,0.26915,0.1,0.4
"72",400,20,1,1,1.5,"ipw.CBPS",FALSE,0.231534567923539,1.96021810200959,1.97287120932467,0,1.88289499537591,0.065,0.19654623376741,0.352352859710704,NA,NA,NA,NA
"73",400,20,1,1,1.5,"ipw.GBM",FALSE,0.740502437767079,1.59683007716923,1.75944885955685,0,1.52104166836054,0.094,0.429762,0.593,NA,NA,NA,NA
"74",400,20,1,1,1.5,"lslx",FALSE,0.88025177620163,1.60153853796119,1.82680156349627,0,1.44584081982968,0.123,0.0364781791630535,0.323257428140629,0.047,0.06585,0,0.1
"75",400,20,1,1,1.5,"none",FALSE,1.10924589642758,1.50869429890162,1.87197991116148,0,1.43979231456789,0.142,NA,NA,NA,NA,NA,NA
"76",400,20,1,1,1.5,"pred.treat",FALSE,-0.0600129200017479,2.53861952087388,2.53805950152026,0,2.21011907074065,0.075,0.20448805375361,2.38323274175323,1,0.2,0.2,0.2
"77",400,20,1,1,1.5,"regsem",FALSE,1.06101404297406,1.54005221980094,1.86952931997929,0,1.44010347639202,0.138,0.0237029531495631,0.199850540828131,0.006,0.01735,0,0
"78",400,20,1,1,1.5,"stability_mle",TRUE,-0.0594993761433484,2.59676463766738,2.59614783335191,0,2.18723520365534,0.075,0.228092878255176,3.20877191181862,0.952,0.5359,0.35,0.75
"79",400,20,1,1,1.5,"target",FALSE,0.0160856887547647,1.78312374674318,1.78230455177726,0,1.65271301924316,0.07,0.11177768489115,1.98162779432235,NA,NA,NA,NA
"80",400,20,1,1,1.5,"unwanted.only",FALSE,1.3781573718537,1.77421970956404,2.24589079516846,0,1.6367464465039,0.157,0.101185161615797,2.13442338214973,NA,NA,NA,NA
"81",400,20,1.5,0,1,"glmnet",FALSE,0.0818250310902947,0.98295321293074,0.985863153538553,0,0.818929280134827,0.086,0.13136005002928,1.80478116200297,0.885,0.45925,0.35,0.55
"82",400,20,1.5,0,1,"ipw.CBPS",FALSE,0.286085585184782,1.00033324922967,1.0399571649618,0,0.992289654662649,0.058,0.277834854626029,0.523665699274384,NA,NA,NA,NA
"83",400,20,1.5,0,1,"ipw.GBM",FALSE,0.821446791638714,0.658289240385715,1.05246672668409,0,0.699978180172163,0.203,0.558961,0.736,NA,NA,NA,NA
