"","sample_size_n","number_covariates_J","coefficient_k","binary_covariates_1","number_unwanted_inS3","collider_bias_1","binary_treatment_1","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","confounders","total","total.lo","total.up"
"1",400,20,0.8,0,2,0,0,"SignifReg",FALSE,0.485026762309433,0.773917319392099,0.91301699293834,0,0.399478676550412,0.378,0.389,0.15575,0.1,0.2
"2",400,20,0.8,0,2,0,0,"SignifReg.DS",TRUE,0.0485452866769715,1.24451233899294,1.24483685509481,0,1.18641859579913,0.063,1,0.3123,0.3,0.35
"3",400,20,0.8,0,2,0,0,"glmnet",FALSE,0.782132908305137,0.792446233790892,1.11313743476256,0,0.503464511883986,0.553,0.311,0.41155,0.25,0.55
"4",400,20,0.8,0,2,0,0,"glmnet.DS",TRUE,0.0411257853491544,1.26786755391927,1.26790061770137,0,1.1865027017258,0.069,1,0.6784,0.55,0.8
"5",400,20,0.8,0,2,0,0,"lslx",FALSE,0.9387500023678,0.669404931979165,1.1527820379155,0,0.422968969963552,0.668,0.159,0.25715,0.15,0.35
"6",400,20,0.8,0,2,0,0,"lslx.DS",TRUE,0.0333122613194917,1.26995813362566,1.26976004593585,0,1.20552082356895,0.064,1,0.5691,0.3,0.95
"7",400,20,0.8,0,2,0,0,"none",FALSE,1.07144022632432,0.337118252019898,1.1231737290887,0,0.326086413033702,0.896,NA,NA,NA,NA
"8",400,20,0.8,0,2,0,0,"post_lslx",FALSE,0.930870360736586,0.69167770133172,1.15950819444059,0,0.427814688735525,0.661,NA,NA,NA,NA
"9",400,20,0.8,0,2,0,0,"post_lslx.DS",TRUE,0.989250760998063,0.541626131703335,1.12768904216217,0,0.368721004585215,0.791,NA,NA,NA,NA
"10",400,20,0.8,0,2,0,0,"regsem",FALSE,1.0521593767998,0.445741802051901,1.1425963515302,0,0.342693310780241,0.843,0.021,0.07695,0,0.1125
"11",400,20,0.8,0,2,0,0,"regsem.DS",TRUE,0.0344988272542944,1.26443640592975,1.26427480964299,0,1.21858329734012,0.061,1,0.2865,0.25,0.35
"12",400,20,0.8,0,2,0,0,"rlassoEffect.ds",TRUE,0.0444599087187072,1.24624335247392,1.24641327599441,0,1.20586157597245,0.058,NA,NA,NA,NA
"13",400,20,0.8,0,2,0,0,"stability",TRUE,0.0426469330739224,1.26421968903422,1.26430689771916,0,1.17484041031742,0.068,1,0.7116,0.55,0.95
"14",400,20,0.8,0,2,0,0,"target",FALSE,0.0164006766541686,0.479464504454345,0.479505273188245,0,0.479370133316912,0.055,NA,NA,NA,NA
"15",400,20,0.8,0,2,0,0,"unwanted.only",FALSE,1.67906064811266,0.425849416601417,1.73216945993591,0,0.40538372100961,0.977,NA,NA,NA,NA
"16",400,20,0.8,0,2,1,0,"SignifReg",FALSE,1.06262743394028,0.710729196487567,1.27820495935184,0,0.372441000099207,0.778,0.06,0.1122,0.1,0.15
"17",400,20,0.8,0,2,1,0,"SignifReg.DS",TRUE,-0.104574818764264,0.928088878235622,0.933500674696236,0,0.917942462566526,0.058,1,0.26875,0.25,0.3
"18",400,20,0.8,0,2,1,0,"glmnet",FALSE,0.997616218846983,0.774778363624088,1.26290116451519,0,0.382363752725805,0.799,0.072,0.298,0.15,0.4
"19",400,20,0.8,0,2,1,0,"glmnet.DS",TRUE,-0.127292872003198,0.940119368638758,0.948232080308017,0,0.920697596109276,0.064,1,0.62235,0.5,0.75
"20",400,20,0.8,0,2,1,0,"lslx",FALSE,1.21919399514218,0.437728708501294,1.29531803570193,0,0.335447570627519,0.89,0.003,0.1669,0.1,0.25
"21",400,20,0.8,0,2,1,0,"lslx.DS",TRUE,-0.130486992207303,0.944218675729149,0.952724626439047,0,0.937722471710808,0.055,1,0.47005,0.25,0.65
"22",400,20,0.8,0,2,1,0,"none",FALSE,1.31187709489887,0.337685824919143,1.35459927534133,0,0.330985061276433,0.969,NA,NA,NA,NA
"23",400,20,0.8,0,2,1,0,"post_lslx",FALSE,1.21565343199219,0.44653631556184,1.29499364984884,0,0.338181156199136,0.889,NA,NA,NA,NA
"24",400,20,0.8,0,2,1,0,"post_lslx.DS",TRUE,1.29049362269481,0.360879575416414,1.33995433657298,0,0.331237093823893,0.95,NA,NA,NA,NA
"25",400,20,0.8,0,2,1,0,"regsem",FALSE,1.29243719410768,0.3532809814336,1.33980466677191,0,0.3307127774954,0.949,0,0.06205,0,0.1
"26",400,20,0.8,0,2,1,0,"regsem.DS",TRUE,-0.129846718244706,0.93655615065478,0.945050504547186,0,0.943580301395219,0.051,1,0.24245,0.2,0.3
"27",400,20,0.8,0,2,1,0,"rlassoEffect.ds",TRUE,-0.0870192437544177,0.922047643196894,0.925685709759102,0,0.929281907839178,0.05,NA,NA,NA,NA
"28",400,20,0.8,0,2,1,0,"stability",TRUE,-0.126673034496577,0.942413866047168,0.950421910885698,0,0.919108728863222,0.064,1,0.6928,0.5,0.95
"29",400,20,0.8,0,2,1,0,"target",FALSE,0.0138872617271521,0.912941434903777,0.912590520189028,0,0.896943548742266,0.059,NA,NA,NA,NA
"30",400,20,0.8,0,2,1,0,"unwanted.only",FALSE,1.30204384512139,0.339595512693538,1.34555860583916,0,0.332053876279082,0.965,NA,NA,NA,NA
"31",400,20,0.8,0,4,0,0,"SignifReg",FALSE,0.243780787263365,0.582267814351745,0.630972142064191,0,0.383998437902025,0.196,0.522,0.16685,0.15,0.2
"32",400,20,0.8,0,4,0,0,"SignifReg.DS",TRUE,0.0299850084791673,1.4682447855732,1.46781678296237,0,1.38557309838816,0.064,1,0.40485,0.4,0.45
"33",400,20,0.8,0,4,0,0,"glmnet",FALSE,0.486953749259705,0.671312197936264,0.829055704370342,0,0.495775926916985,0.272,0.641,0.453,0.35,0.6
"34",400,20,0.8,0,4,0,0,"glmnet.DS",TRUE,0.020438746059022,1.47862331677962,1.47802514469542,0,1.38702633739317,0.071,1,0.79005,0.7,0.9
"35",400,20,0.8,0,4,0,0,"lslx",FALSE,0.539023548089689,0.590971099122883,0.799652411084784,0,0.419309145839438,0.357,0.444,0.2869,0.15,0.4
"36",400,20,0.8,0,4,0,0,"lslx.DS",TRUE,0.0179376367966189,1.47631526610519,1.4756859479524,0,1.40050789663302,0.067,1,0.73805,0.5,1
"37",400,20,0.8,0,4,0,0,"none",FALSE,0.91428123289188,0.335671060246001,0.973895558283476,0,0.329535078746945,0.784,NA,NA,NA,NA
"38",400,20,0.8,0,4,0,0,"post_lslx",FALSE,0.527153267785909,0.605135344879283,0.802317371477091,0,0.424408144529846,0.35,NA,NA,NA,NA
"39",400,20,0.8,0,4,0,0,"post_lslx.DS",TRUE,0.666175353272176,0.567595534610738,0.875004072862777,0,0.382794731566872,0.52,NA,NA,NA,NA
"40",400,20,0.8,0,4,0,0,"regsem",FALSE,0.78377541124972,0.486579443420849,0.92240267263525,0,0.34747757011045,0.644,0.095,0.08495,0,0.15
"41",400,20,0.8,0,4,0,0,"regsem.DS",TRUE,0.0211858870660132,1.48597998250591,1.48538790008221,0,1.42211519283682,0.057,1,0.4198,0.35,0.45
"42",400,20,0.8,0,4,0,0,"rlassoEffect.ds",TRUE,0.0330342164429885,1.47753467224504,1.47716514257363,0,1.41230392312856,0.059,NA,NA,NA,NA
"43",400,20,0.8,0,4,0,0,"stability",TRUE,0.0195022218211788,1.34389411793956,1.34336357159493,0,1.23146501179009,0.069,0.995,0.65945,0.45,0.95
"44",400,20,0.8,0,4,0,0,"target",FALSE,-0.0016020091234435,0.41826394045395,0.418057825657424,0,0.415733982539992,0.058,NA,NA,NA,NA
"45",400,20,0.8,0,4,0,0,"unwanted.only",FALSE,1.95735514710936,0.487539486124473,2.0171009463325,0,0.47663583229358,0.985,NA,NA,NA,NA
"46",400,20,0.8,0,4,1,0,"SignifReg",FALSE,1.06647857234532,0.683704424884874,1.26663366216845,0,0.373768879134919,0.742,0.052,0.1143,0.1,0.15
"47",400,20,0.8,0,4,1,0,"SignifReg.DS",TRUE,-0.136842806099414,0.93682554941714,0.946303556746908,0,0.930255156449707,0.055,1,0.27855,0.25,0.3
"48",400,20,0.8,0,4,1,0,"glmnet",FALSE,0.949197557118702,0.852122985019993,1.27528956337684,0,0.391624910966061,0.78,0.079,0.31755,0.15,0.45
"49",400,20,0.8,0,4,1,0,"glmnet.DS",TRUE,-0.16196705530208,0.94093459832977,0.954309115234104,0,0.931674560553951,0.061,1,0.65885,0.55,0.8
"50",400,20,0.8,0,4,1,0,"lslx",FALSE,1.21610196976978,0.418813511479701,1.28613115719918,0,0.336906376071606,0.872,0,0.17035,0.1,0.25
"51",400,20,0.8,0,4,1,0,"lslx.DS",TRUE,-0.171387495977682,0.945973581160459,0.960908332784554,0,0.9467713448399,0.058,1,0.523,0.3,0.8125
"52",400,20,0.8,0,4,1,0,"none",FALSE,1.31606124572831,0.346680044313952,1.36091295407912,0,0.331294975438123,0.97,NA,NA,NA,NA
"53",400,20,0.8,0,4,1,0,"post_lslx",FALSE,1.21250580494904,0.424158371610895,1.28448462074036,0,0.339447102164343,0.871,NA,NA,NA,NA
"54",400,20,0.8,0,4,1,0,"post_lslx.DS",TRUE,1.28319470023679,0.376258136158776,1.33716762358219,0,0.332870473313698,0.938,NA,NA,NA,NA
"55",400,20,0.8,0,4,1,0,"regsem",FALSE,1.28770569167614,0.374285099466327,1.34094563451393,0,0.332714150941388,0.943,0.001,0.0647,0,0.1
"56",400,20,0.8,0,4,1,0,"regsem.DS",TRUE,-0.173193432868114,0.961405438714915,0.976407743907058,0,0.954011324108151,0.061,1,0.2833,0.2375,0.35
"57",400,20,0.8,0,4,1,0,"rlassoEffect.ds",TRUE,-0.140017888017923,0.944123985180014,0.953983091180236,0,0.942580698108807,0.052,NA,NA,NA,NA
"58",400,20,0.8,0,4,1,0,"stability",TRUE,-0.163911479018462,0.949201737570697,0.962782388508765,0,0.930548254906692,0.064,1,0.7149,0.55,0.95
"59",400,20,0.8,0,4,1,0,"target",FALSE,-0.00227707098163259,0.905665235239068,0.905215153350059,0,0.905005943775552,0.053,NA,NA,NA,NA
"60",400,20,0.8,0,4,1,0,"unwanted.only",FALSE,1.30516447492428,0.349374237898289,1.35107164960015,0,0.332484460323681,0.971,NA,NA,NA,NA
"61",400,20,0.8,1,2,0,0,"SignifReg",FALSE,0.136542676455383,0.19003663868758,0.233926724880313,0,0.153416114533024,0.197,0.178,0.1053,0.05,0.15
"62",400,20,0.8,1,2,0,0,"SignifReg.DS",TRUE,-0.00272496772381019,0.256610259326358,0.256496397275761,0,0.245813746117001,0.064,1,0.28245,0.25,0.3
"63",400,20,0.8,1,2,0,0,"glmnet",FALSE,0.139367475692122,0.231354206186366,0.269989883573807,0,0.163934547629661,0.275,0.318,0.2951,0.05,0.5
"64",400,20,0.8,1,2,0,0,"glmnet.DS",TRUE,-0.000500227782288011,0.259490818992458,0.259361523522802,0,0.246187513573783,0.067,1,0.6228,0.5,0.75
"65",400,20,0.8,1,2,0,0,"lslx",FALSE,0.266290431792501,0.154474979231206,0.307813662389293,0,0.142881496792552,0.494,0.007,0.0096,0,0
"66",400,20,0.8,1,2,0,0,"lslx.DS",TRUE,0.252834329343689,0.17622723334743,0.308139870562362,0,0.150987331356676,0.478,0.074,0.035,0,0
"67",400,20,0.8,1,2,0,0,"none",FALSE,0.271606753353188,0.149665919720145,0.310076951909056,0,0.142387085273422,0.502,NA,NA,NA,NA
"68",400,20,0.8,1,2,0,0,"post_lslx",FALSE,0.266048336145739,0.155058533678389,0.307897422664663,0,0.143208759236779,0.494,NA,NA,NA,NA
"69",400,20,0.8,1,2,0,0,"post_lslx.DS",TRUE,0.269885385782573,0.151190850142885,0.309312036546866,0,0.142432263822123,0.499,NA,NA,NA,NA
"70",400,20,0.8,1,2,0,0,"regsem",FALSE,0.261679313559227,0.161575343958312,0.307500485086284,0,0.142909977837849,0.484,0.009,0.01865,0,0
"71",400,20,0.8,1,2,0,0,"regsem.DS",TRUE,-0.00399976590375332,0.257079761552778,0.256982318309097,0,0.249074167917175,0.056,1,0.27565,0.2,0.3
"72",400,20,0.8,1,2,0,0,"rlassoEffect.ds",TRUE,-0.0021578892729744,0.259200198781966,0.259079553017363,0,0.248654123164412,0.058,NA,NA,NA,NA
"73",400,20,0.8,1,2,0,0,"stability",TRUE,-0.00076379285249258,0.261003902442087,0.260874485974443,0,0.244935142688979,0.075,1,0.6992,0.5,0.95
"74",400,20,0.8,1,2,0,0,"target",FALSE,0.00265366714109478,0.194555222256255,0.194476026085401,0,0.181394108089787,0.066,NA,NA,NA,NA
"75",400,20,0.8,1,2,0,0,"unwanted.only",FALSE,0.366410563330946,0.173217057913404,0.405254051088357,0,0.165213100171653,0.612,NA,NA,NA,NA
"76",400,20,0.8,1,2,1,0,"SignifReg",FALSE,0.1354829639384,0.211581361938704,0.251152422971889,0,0.173550047688442,0.179,0.096,0.0994,0.05,0.15
"77",400,20,0.8,1,2,1,0,"SignifReg.DS",TRUE,-0.0865833365488689,0.23173628280455,0.247274497737306,0,0.227332818723041,0.069,1,0.2469,0.2,0.3
"78",400,20,0.8,1,2,1,0,"glmnet",FALSE,0.102171659151195,0.271340554408798,0.289812212827747,0,0.177445591136031,0.249,0.226,0.2723,0.05,0.45
"79",400,20,0.8,1,2,1,0,"glmnet.DS",TRUE,-0.0923843507758038,0.235465195810395,0.252830541762376,0,0.227906684712253,0.078,1,0.591,0.45,0.7
"80",400,20,0.8,1,2,1,0,"lslx",FALSE,0.276244630189054,0.175744647107623,0.327362781198907,0,0.161001654079973,0.434,0.003,0.02,0,0
"81",400,20,0.8,1,2,1,0,"lslx.DS",TRUE,0.187903703314867,0.246705264738076,0.310016815481477,0,0.179122659548628,0.341,0.271,0.1485,0,0.25
"82",400,20,0.8,1,2,1,0,"none",FALSE,0.291683501710877,0.163926495327492,0.334550876765856,0,0.160301629064053,0.459,NA,NA,NA,NA
"83",400,20,0.8,1,2,1,0,"post_lslx",FALSE,0.275721714248341,0.176917188930774,0.327552828953547,0,0.162069850417168,0.425,NA,NA,NA,NA
"84",400,20,0.8,1,2,1,0,"post_lslx.DS",TRUE,0.274691358126966,0.177332082503424,0.326910634649828,0,0.161820542452109,0.423,NA,NA,NA,NA
"85",400,20,0.8,1,2,1,0,"regsem",FALSE,0.281287668370044,0.169301904842167,0.328263955111217,0,0.16059784445193,0.439,0,0.0133,0,0
"86",400,20,0.8,1,2,1,0,"regsem.DS",TRUE,-0.0927938054776164,0.234317035943791,0.251913197739158,0,0.230048745381784,0.071,1,0.2438,0.2,0.25
"87",400,20,0.8,1,2,1,0,"rlassoEffect.ds",TRUE,-0.0808693605193616,0.232189364843609,0.245759725577936,0,0.229309715302866,0.068,NA,NA,NA,NA
"88",400,20,0.8,1,2,1,0,"stability",TRUE,-0.0926825030591886,0.234980861895219,0.252489278633529,0,0.227168206276275,0.076,1,0.69775,0.5,0.95
"89",400,20,0.8,1,2,1,0,"target",FALSE,-0.00222800135274443,0.223162364075698,0.223061882196717,0,0.219553553264768,0.051,NA,NA,NA,NA
"90",400,20,0.8,1,2,1,0,"unwanted.only",FALSE,0.25816206594604,0.167034755715599,0.307441638853426,0,0.163002574071206,0.375,NA,NA,NA,NA
"91",400,20,0.8,1,4,0,0,"SignifReg",FALSE,0.0992154487500892,0.181035719607367,0.206361001918156,0,0.151173532988146,0.14,0.226,0.11655,0.05,0.15
"92",400,20,0.8,1,4,0,0,"SignifReg.DS",TRUE,-0.000607025011456075,0.28586845548894,0.285726130322644,0,0.256864580869253,0.078,1,0.37895,0.35,0.4
"93",400,20,0.8,1,4,0,0,"glmnet",FALSE,0.1075123017746,0.22679545671337,0.250885707124804,0,0.164704566152303,0.212,0.406,0.32405,0.15,0.5
"94",400,20,0.8,1,4,0,0,"glmnet.DS",TRUE,0.00031986836639694,0.290017739802621,0.289872871146288,0,0.257457583074558,0.077,1,0.7417,0.65,0.85
